Line Number,Source,Target
202,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_Extract.OrderDate_Month
202,MA_NorthWindDB.dbo.Orders.RequiredDate,MMA_NorthWindDB.dbo.Orders_Extract.RequiredDate
202,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_Extract.Days_order_shipment
202,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_Extract.Days_order_shipment
202,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_Extract.ShippedDate
202,MA_NorthWindDB.dbo.Orders.ShipVia,MA_NorthWindDB.dbo.Orders_Extract.ShipVia
202,MA_NorthWindDB.dbo.Orders.Freight,MA_NorthWindDB.dbo.Orders_Extract.Freight
202,MA_NorthWindDB.dbo.Orders.ShipName,MA_NorthWindDB.dbo.Orders_Extract.ShipName
202,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_Extract.ShipAddress
202,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_Extract.ShipCity
202,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_Extract.ShipRegion
202,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_Extract.ShipPostalCode
202,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_Extract.ShipCountry
202,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
202,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
202,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
202,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
202,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
230,MA_NorthWindDB.dbo.Orders.OrderID,MA_NorthWindDB.dbo.Orders_1998_Extract.OrderID
230,MA_NorthWindDB.dbo.Orders.CustomerID,MA_NorthWindDB.dbo.Orders_1998_Extract.CustomerID
230,MA_NorthWindDB.dbo.Orders.EmployeeID,MA_NorthWindDB.dbo.Orders_1998_Extract.EmployeeID
230,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1998_Extract.OrderDate
230,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1998_Extract.OrderDate_Month
230,MA_NorthWindDB.dbo.Orders.RequiredDate,MA_NorthWindDB.dbo.Orders_1998_Extract.RequiredDate
230,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1998_Extract.Days_order_shipment
230,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_1998_Extract.Days_order_shipment
230,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_1998_Extract.ShippedDate
230,MA_NorthWindDB.dbo.Orders.ShipVia,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipVia
230,MA_NorthWindDB.dbo.Orders.Freight,MA_NorthWindDB.dbo.Orders_1998_Extract.Freight
230,MA_NorthWindDB.dbo.Orders.ShipName,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipName
