DB|Table|Concat|ID||||||||
MA_DemoDB_01|EmployeeTerritories|MA_DemoDB_01EmployeeTerritories|171||||||||
MA_DemoDB_01|EmployeeTerritories_Extract|MA_DemoDB_01EmployeeTerritories_Extract|172||||||||
MA_DemoDB_01|Order_Details_Order_AGGR|MA_DemoDB_01Order_Details_Order_AGGR|173||||||||
MA_DemoDB_01|Order_Details_Product_AGGR|MA_DemoDB_01Order_Details_Product_AGGR|174||||||||
MA_DemoDB_01|Order_Details_Extract|MA_DemoDB_01Order_Details_Extract|175||||||||
MA_DemoDB_01|Order_Details_1996_Extract|MA_DemoDB_01Order_Details_1996_Extract|176||||||||
MA_DemoDB_01|Order_Details_1997_Extract|MA_DemoDB_01Order_Details_1997_Extract|177||||||||
MA_DemoDB_01|Order_Details_1998_Extract|MA_DemoDB_01Order_Details_1998_Extract|178||||||||
MA_DemoDB_01|Orders|MA_DemoDB_01Orders|179||||||||
MA_DemoDB_01|Orders_1996_Extract|MA_DemoDB_01Orders_1996_Extract|180||||||||
MA_DemoDB_01|Orders_1997_Extract|MA_DemoDB_01Orders_1997_Extract|181||||||||
MA_DemoDB_01|Orders_1998_Extract|MA_DemoDB_01Orders_1998_Extract|182||||||||
MA_DemoDB_01|Orders_Extract|MA_DemoDB_01Orders_Extract|183||||||||
MA_DemoDB_01|Products|MA_DemoDB_01Products|184||||||||
MA_DemoDB_01|Products_Extract|MA_DemoDB_01Products_Extract|185||||||||
MA_DemoDB_01|Region|MA_DemoDB_01Region|186||||||||
MA_DemoDB_01|Region_Extract|MA_DemoDB_01Region_Extract|187||||||||
MA_DemoDB_01|Shippers|MA_DemoDB_01Shippers|188||||||||
MA_DemoDB_01|Shippers_Extract|MA_DemoDB_01Shippers_Extract|189||||||||
MA_DemoDB_01|Suppliers|MA_DemoDB_01Suppliers|190||||||||
MA_DemoDB_01|Suppliers_Extract|MA_DemoDB_01Suppliers_Extract|191||||||||
MA_DemoDB_01|Territories|MA_DemoDB_01Territories|192||||||||
MA_DemoDB_01|Territories_Extract|MA_DemoDB_01Territories_Extract|193||||||||
MA_DemoDB_01|Categories_Extract.csv|MA_DemoDB_01Categories_Extract.csv|194||||||||
MA_DemoDB_01|Customers_Extract.csv|MA_DemoDB_01Customers_Extract.csv|195||||||||
MA_DemoDB_01|Employees_Extract.csv|MA_DemoDB_01Employees_Extract.csv|196||||||||
MA_DemoDB_01|EmployeeTerritories_Extract.csv|MA_DemoDB_01EmployeeTerritories_Extract.csv|197||||||||
MA_DemoDB_01|Order_Details_Extract.csv|MA_DemoDB_01Order_Details_Extract.csv|198||||||||
MA_DemoDB_01|Order_Details_1996_Extract.csv|MA_DemoDB_01Order_Details_1996_Extract.csv|199||||||||
MA_DemoDB_01|Order_Details_1997_Extract.csv|MA_DemoDB_01Order_Details_1997_Extract.csv|200||||||||
MA_DemoDB_01|Order_Details_1998_Extract.csv|MA_DemoDB_01Order_Details_1998_Extract.csv|201||||||||
